miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target
hsa-mir-145-5p,hsa-mir-940,6774,6347,1,0.0055,0,0.702,0.777,0.409,0.002
hsa-mir-145-5p,hsa-mir-940,6774,3586,1,0.0055,0,0.702,0.068,0.3005,0.009
hsa-mir-301b-3p,hsa-mir-940,6774,2,1,0.0035,0,0.1925,0.426,0.0515,0.009
hsa-let-7c-5p,hsa-mir-30a-3p,4609,1736,1,0.001,0.0005,0.5965,0.0935,0.202,0
hsa-mir-182-5p,hsa-mir-96-5p,6591,399693,-1,0,0,0,0.012,0.0535,0.002
hsa-mir-182-5p,hsa-mir-96-5p,4790,4792,1,0,0,0,0.11,0.0375,0.007
hsa-mir-182-5p,hsa-mir-96-5p,4205,79658,1,0.0065,0,0.032,0.041,0.0115,0.0015
hsa-mir-335-5p,hsa-mir-653-5p,571,92558,1,0,0.0055,0.746,0.1505,0.144,0.002
hsa-mir-335-5p,hsa-mir-653-5p,571,8871,1,0,0.0055,0.746,0.364,0.0545,0.006
hsa-let-7c-5p,hsa-mir-30a-5p,4609,1736,1,0.002,0,0.102,0.096,0.065,0.008
hsa-mir-182-5p,hsa-mir-301b-3p,4790,5329,1,0,0,0.0065,0.128,0.042,0.006
hsa-mir-183-5p,hsa-mir-200a-3p,1316,81671,1,0.009,0,0.1345,0.094,0.097,0.007
hsa-mir-429,hsa-mir-592,4609,7042,1,0,0,0.1185,0.035,0.09,0
hsa-mir-429,hsa-mir-592,4609,4783,1,0,0,0.1185,0.0155,0.015,0.002
hsa-mir-130b-3p,hsa-mir-301b-3p,4790,5329,1,0,0,0,0.072,0.057,0
hsa-mir-301b-3p,hsa-mir-335-3p,2099,8648,1,0.0075,0.0075,0.0005,0.2105,0.032,0.0095
hsa-mir-130b-3p,hsa-mir-222-3p,2099,5972,1,0,0.0085,0.921,0.9615,0.2455,0.001
hsa-mir-1287-5p,hsa-mir-33b-5p,7182,22841,1,0.009,0.0085,0.502,0.238,0.017,0.0035
hsa-mir-30a-3p,hsa-mir-30a-5p,4609,3725,1,0,0,0.0005,0.4855,0.022,0.0005
hsa-mir-200a-3p,hsa-mir-429,2908,632,-1,0,0.0005,0,0.023,0.1825,0.009
hsa-mir-224-5p,hsa-mir-429,2113,8797,1,0.0005,0.0025,0.028,0.2795,0.065,0.0095
hsa-mir-130b-3p,hsa-mir-182-5p,4790,5054,1,0,0,0.752,0.0895,0.1425,0.0025
