miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target
hsa-let-7f-2-3p,hsa-mir-224-5p,4205,57157,1,0.002,0,0.003,0.396,0.047,0
hsa-let-7f-2-3p,hsa-mir-224-5p,4205,140609,1,0.002,0,0.003,0.025,0.08,0
hsa-mir-301b-3p,hsa-mir-33a-3p,6925,57480,1,0,0,0.027,0.096,0.344,0.003
hsa-mir-301b-3p,hsa-mir-33a-3p,6925,51564,1,0,0,0.027,0.013,0.041,0.006
hsa-mir-18a-3p,hsa-mir-345-5p,3662,4299,1,0.0045,0,0.0055,0.0885,0.047,0.001
hsa-mir-18a-5p,hsa-mir-23b-5p,3091,54583,1,0,0.0035,0.0045,0.7665,0.5855,0.007
hsa-mir-18a-5p,hsa-mir-23b-5p,3091,3098,1,0,0.0035,0.0045,0.023,0.948,0.0065
hsa-mir-18a-3p,hsa-mir-19a-3p,3662,23293,1,0.007,0.001,0.005,0.7175,0.013,0.009
hsa-mir-362-5p,hsa-mir-570-3p,7003,1956,1,0,0.0005,0.307,0.9625,0.35,0.0025
hsa-mir-135b-5p,hsa-mir-589-3p,4208,79658,1,0,0,0.0015,0.0315,0.018,0.006
hsa-mir-135b-5p,hsa-mir-589-3p,4208,50650,1,0,0,0.0015,0.658,0.1985,0.003
hsa-mir-10a-3p,hsa-mir-203a-3p,5090,7091,1,0.001,0,0,0.9715,0.045,0.0095
hsa-mir-10a-3p,hsa-mir-203a-3p,5090,26230,1,0.001,0,0,0.499,0.046,0
hsa-mir-362-5p,hsa-mir-7-5p,7003,50807,1,0.0005,0.0075,0.0025,0.218,0.485,0.0015
hsa-let-7f-2-3p,hsa-let-7g-3p,1385,596,1,0.0005,0.001,0.01,0.0345,0.1545,0.0085
hsa-mir-19a-3p,hsa-mir-335-3p,2099,6776,1,0,0,0.011,0.3705,0.327,0.002
hsa-mir-19a-3p,hsa-mir-335-3p,2099,596,1,0,0,0.011,0.1,0.022,0.007
hsa-mir-19a-3p,hsa-mir-335-3p,2099,4322,1,0,0,0.011,0.0155,0.2185,0.0055
hsa-mir-18a-5p,hsa-mir-429,3091,8553,1,0.0005,0.0075,0,0.7255,0.3565,0.004
hsa-mir-18a-5p,hsa-mir-429,3091,4170,1,0.0005,0.0075,0,0.045,0.1095,0.0065
hsa-let-7g-3p,hsa-mir-376b-3p,1385,4763,1,0.0025,0.0005,0.0055,0.1225,0.1145,0.0055
hsa-mir-10a-3p,hsa-mir-19a-3p,3662,640,1,0.0075,0.003,0.0475,0.0225,0.0105,0.006
