miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target
hsa-mir-9-3p,hsa-mir-96-5p,4790,597,1,0.009,0.0075,0.496,0.4035,0.0725,0.0065
hsa-mir-200a-3p,hsa-mir-429,8202,4734,1,0.0055,0.004,0.0005,0.0135,0.061,0.001
hsa-mir-200a-3p,hsa-mir-429,8202,11011,1,0.0055,0.004,0.0005,0.083,0.119,0.003
hsa-mir-203a-3p,hsa-mir-455-3p,6935,3691,-1,0,0,0.0045,0.066,0.016,0.002
hsa-mir-192-5p,hsa-mir-429,8202,4734,1,0,0.001,0.051,0.1765,0.0675,0.0045
hsa-mir-192-5p,hsa-mir-429,8202,11011,1,0,0.001,0.051,0.0235,0.132,0.0095
hsa-mir-144-3p,hsa-mir-455-3p,6935,9524,-1,0.006,0,0.55,0.0165,0.014,0.0045
hsa-mir-182-5p,hsa-mir-192-5p,2099,654,1,0.002,0.001,0.0345,0.0195,0.044,0.0095
hsa-mir-100-5p,hsa-mir-152-3p,51341,3911,-1,0.0045,0.002,0.11,0.1225,0.146,0.0005
hsa-mir-17-5p,hsa-mir-92a-1-5p,4205,54828,1,0.001,0.0055,0.3335,0.0135,0.4055,0.008
hsa-mir-192-5p,hsa-mir-338-5p,2099,654,1,0.0005,0,0,0.046,0.6145,0.0015
hsa-mir-192-5p,hsa-mir-338-5p,2099,5241,1,0.0005,0,0,0.05,0.191,0.0015
hsa-mir-192-5p,hsa-mir-338-5p,2099,2308,1,0.0005,0,0,0.2235,0.2125,0.0045
hsa-mir-200b-3p,hsa-mir-215-5p,8202,4734,1,0.001,0,0.4,0.075,0.3485,0.007
hsa-mir-130b-5p,hsa-mir-210-3p,5452,3567,1,0.0035,0.0005,0.14,0.071,0.028,0.0045
hsa-mir-17-5p,hsa-mir-18a-5p,6774,7538,1,0,0.0005,0.003,0.0205,0.0455,0.0075
hsa-mir-18a-5p,hsa-mir-301b-3p,6774,1154,1,0,0,0.031,0.363,0.027,0.0045
hsa-mir-106b-5p,hsa-mir-940,6774,2099,1,0.001,0.002,0.394,0.152,0.2975,0.007
hsa-mir-33a-5p,hsa-mir-9-5p,27086,8667,-1,0,0,0.047,0.1565,0.322,0.0035
hsa-mir-17-5p,hsa-mir-335-3p,2099,2192,1,0,0,0.1155,0.0245,0.0225,0.002
hsa-mir-192-5p,hsa-mir-200b-3p,8202,4734,1,0,0.001,0.39,0.1695,0.072,0.005
hsa-mir-203a-3p,hsa-mir-96-5p,6935,1468,-1,0,0,0,0.259,0.0515,0.0085
hsa-mir-130b-3p,hsa-mir-17-5p,2099,388677,1,0,0.0015,0.1145,0.037,0.099,0.004
hsa-mir-200b-3p,hsa-mir-33a-3p,6925,7225,1,0.001,0,0.008,0.8685,0.0245,0.0045
hsa-mir-200b-3p,hsa-mir-33a-3p,6925,27233,1,0.001,0,0.008,0.035,0.0555,0.007
hsa-mir-215-5p,hsa-mir-429,8202,4734,1,0,0.0005,0.044,0.327,0.0545,0.001
hsa-mir-130b-3p,hsa-mir-335-3p,2099,6543,1,0,0,0.189,0.5605,0.1325,0.0085
hsa-mir-17-5p,hsa-mir-301b-3p,6774,1154,1,0,0,0.119,0.0825,0.0285,0.004
hsa-mir-532-3p,hsa-mir-625-5p,4782,7980,1,0,0.0005,0.755,0.017,0.0295,0.004
