"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target"
"hsa-mir-183-5p","hsa-mir-96-5p",6934,"TCF7L2",2736,"GLI2",1,0,0,0.158,0.179,0.0455,0.002
"hsa-mir-142-5p","hsa-mir-150-5p",4601,"MXI1",5524,"PTPA",-1,0,0,0.003,0.6675,0.8585,0.0095
"hsa-mir-136-5p","hsa-mir-193b-3p",2113,"ETS1",5663,"PSEN1",1,0,0,0.0015,0.0415,0.0195,0.0095
"hsa-mir-193b-5p","hsa-mir-625-5p",55810,"FOXJ2",10594,"PRPF8",1,0,0.0045,0.3555,0.0105,0.031,0.0085
"hsa-mir-141-3p","hsa-mir-539-5p",6935,"ZEB1",11187,"PKP3",-1,0.005,0.0035,0.0865,0.1935,0.1875,0.009
"hsa-mir-146a-5p","hsa-mir-204-5p",10765,"KDM5B",23002,"DAAM1",1,0.0015,0,0.221,0.1895,0.0685,0.002
"hsa-mir-1270","hsa-mir-204-5p",60468,"BACH2",23002,"DAAM1",1,5e-04,0.006,0,0.022,0.152,0
"hsa-mir-215-5p","hsa-mir-877-5p",8202,"NCOA3",23389,"MED13L",1,0.001,0.008,0.9045,0.034,0.0365,0.005
"hsa-mir-1270","hsa-mir-215-5p",8202,"NCOA3",51366,"UBR5",1,0.0025,0,0.2095,0.0135,0.306,5e-04
"hsa-mir-135b-5p","hsa-mir-182-5p",4205,"MEF2A",143872,"ARHGAP42",1,0,0.0025,0.283,0.0235,0.0615,0.009
"hsa-mir-139-3p","hsa-mir-139-5p",7764,"ZNF217",342184,"FMN1",1,0.001,0.0025,0.003,0.1325,0.0555,0.002
"hsa-mir-196b-5p","hsa-mir-424-5p",7182,"NR2C2",375743,"PTAR1",1,0,0,0.03,0.7165,0.2405,0.0045
