miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target
hsa-mir-196b-5p,hsa-mir-424-5p,7182,375743,1,0,0,0.03,0.7165,0.2405,0.0045
hsa-mir-142-5p,hsa-mir-150-5p,4601,5524,-1,0,0,0.003,0.6675,0.8585,0.0095
hsa-mir-136-5p,hsa-mir-193b-3p,2113,5663,1,0,0,0.0015,0.0415,0.0195,0.0095
hsa-mir-141-3p,hsa-mir-539-5p,6935,11187,-1,0.005,0.0035,0.0865,0.1935,0.1875,0.009
hsa-mir-135b-5p,hsa-mir-182-5p,4205,143872,1,0,0.0025,0.283,0.0235,0.0615,0.009
hsa-mir-215-5p,hsa-mir-877-5p,8202,23389,1,0.001,0.008,0.9045,0.034,0.0365,0.005
hsa-mir-1270,hsa-mir-204-5p,60468,23002,1,0.0005,0.006,0,0.022,0.152,0
hsa-mir-183-5p,hsa-mir-96-5p,6934,2736,1,0,0,0.158,0.179,0.0455,0.002
hsa-mir-1270,hsa-mir-215-5p,8202,51366,1,0.0025,0,0.2095,0.0135,0.306,0.0005
hsa-mir-193b-5p,hsa-mir-625-5p,55810,10594,1,0,0.0045,0.3555,0.0105,0.031,0.0085
hsa-mir-139-3p,hsa-mir-139-5p,7764,342184,1,0.001,0.0025,0.003,0.1325,0.0555,0.002
hsa-mir-146a-5p,hsa-mir-204-5p,10765,23002,1,0.0015,0,0.221,0.1895,0.0685,0.002
