miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target
hsa-mir-330-3p,hsa-mir-378a-5p,1523,10422,1,0.009,0,0.2715,0.201,0.086,0.003
hsa-mir-142-3p,hsa-mir-365a-3p,7586,84223,1,0,0,0.0435,0.169,0.0245,0.0095
hsa-mir-139-3p,hsa-mir-330-3p,6667,2683,1,0,0.0015,0.0025,0.0195,0.0305,0.001
hsa-mir-378a-3p,hsa-mir-378c,688,8425,1,0,0,0,0.196,0.1115,0.007
hsa-mir-145-5p,hsa-mir-378a-5p,6667,56034,1,0.008,0,0.1315,0.64,0.5035,0.0005
hsa-mir-133a-3p,hsa-mir-142-3p,7586,84223,1,0,0,0.01,0.059,0.1725,0.0055
hsa-mir-138-5p,hsa-mir-378a-5p,7764,342184,1,0,0,0.494,0.043,0.1025,0.0015
hsa-mir-514a-3p,hsa-mir-942-5p,5451,2796,1,0.008,0,0.029,0.063,0.0105,0
hsa-mir-3613-5p,hsa-mir-96-5p,4205,5066,1,0.0005,0,0.2155,0.1055,0.2445,0.0065
hsa-mir-378a-3p,hsa-mir-378a-5p,6667,7430,1,0,0,0,0.172,0.1165,0.0045
hsa-mir-378a-3p,hsa-mir-378a-5p,6667,5021,1,0,0,0,0.017,0.0295,0
hsa-mir-193b-3p,hsa-mir-378a-5p,8202,157680,1,0.0005,0,0.055,0.7045,0.0255,0.0095
hsa-mir-144-3p,hsa-mir-486-5p,4089,4092,1,0,0.001,0.03,0.04,0.0865,0.0075
hsa-mir-144-3p,hsa-mir-486-5p,4089,196,1,0,0.001,0.03,0.0165,0.0185,0.0055
hsa-mir-1-3p,hsa-mir-503-5p,6667,56034,1,0.0015,0,0.068,0.5795,0.9685,0.0075
hsa-mir-221-5p,hsa-mir-627-5p,7182,152518,1,0.004,0.0015,0.522,0.04,0.014,0.0075
hsa-mir-155-5p,hsa-mir-204-5p,6925,51474,1,0,0,0.031,0.7965,0.107,0.0055
hsa-mir-143-3p,hsa-mir-195-5p,688,3728,1,0,0,0.0265,0.0115,0.3325,0.001
hsa-mir-143-3p,hsa-mir-221-5p,7182,58490,1,0,0.001,0.1375,0.4585,0.155,0.0055
hsa-mir-142-5p,hsa-mir-144-3p,7586,2050,1,0,0,0.0035,0.0865,0.0115,0.0085
hsa-mir-1-3p,hsa-mir-330-3p,6667,56034,1,0.002,0.0005,0.063,0.592,0.3675,0.006
hsa-mir-144-3p,hsa-mir-144-5p,4089,4092,1,0,0.001,0.0045,0.036,0.0345,0.001
hsa-mir-144-3p,hsa-mir-144-5p,4089,196,1,0,0.001,0.0045,0.0195,0.014,0.002
hsa-mir-135b-5p,hsa-mir-182-5p,4205,3708,1,0,0,0.0735,0.02,0.4675,0.0075
hsa-mir-182-5p,hsa-mir-542-3p,2908,800,1,0.001,0.007,0.4425,0.0375,0.257,0
hsa-mir-145-5p,hsa-mir-503-5p,6667,7039,1,0.0055,0,0.085,0.014,0.463,0.0055
hsa-mir-1-3p,hsa-mir-378a-3p,6667,56034,1,0,0,0.1885,0.5555,0.792,0.0005
hsa-mir-1-3p,hsa-mir-378a-3p,6667,4790,1,0,0,0.1885,0.4115,0.6135,0.006
hsa-mir-1-3p,hsa-mir-378a-5p,6667,56034,1,0.001,0,0.213,0.595,0.4685,0
hsa-mir-1-3p,hsa-mir-378a-5p,6667,4790,1,0.001,0,0.213,0.4065,0.628,0.0045
hsa-mir-421,hsa-mir-424-5p,1523,10422,1,0,0,0.249,0.1525,0.4775,0.005
hsa-mir-126-5p,hsa-mir-33b-5p,7182,165082,1,0,0,0.2095,0.101,0.0715,0.0055
hsa-mir-144-5p,hsa-mir-486-5p,4089,4092,1,0,0.001,0.0015,0.0175,0.0925,0.0025
hsa-mir-144-5p,hsa-mir-486-5p,4089,196,1,0,0.001,0.0015,0.013,0.019,0.0005
hsa-mir-192-5p,hsa-mir-378a-5p,4297,2303,1,0,0,0.0015,0.011,0.3545,0.0065
hsa-mir-192-5p,hsa-mir-193b-3p,4297,2303,1,0.0005,0,0.096,0.014,0.0775,0.005
hsa-mir-188-5p,hsa-mir-877-5p,8202,4026,1,0.001,0.0005,0.213,0.014,0.6595,0.0065
hsa-mir-150-5p,hsa-mir-378a-3p,6667,367,1,0.0015,0,0.0645,0.061,0.1125,0.005
hsa-mir-192-5p,hsa-mir-193b-3p,8202,23613,1,0.001,0.0005,0.0235,0.419,0.0215,0
