"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target"
"hsa-mir-144-3p","hsa-mir-486-5p",4089,"SMAD4",196,"AHR",1,0,0.001,0.03,0.0165,0.0185,0.0055
"hsa-mir-144-3p","hsa-mir-144-5p",4089,"SMAD4",196,"AHR",1,0,0.001,0.0045,0.0195,0.014,0.002
"hsa-mir-144-5p","hsa-mir-486-5p",4089,"SMAD4",196,"AHR",1,0,0.001,0.0015,0.013,0.019,5e-04
"hsa-mir-150-5p","hsa-mir-378a-5p",6667,"SP1",367,"AR",1,0.002,0,0.347,0.093,0.182,0.0045
"hsa-mir-150-5p","hsa-mir-378a-3p",6667,"SP1",367,"AR",1,0.0015,0,0.0645,0.061,0.1125,0.005
"hsa-mir-182-5p","hsa-mir-542-3p",2908,"NR3C1",800,"CALD1",1,0.001,0.007,0.4425,0.0375,0.257,0
"hsa-mir-182-5p","hsa-mir-96-5p",3091,"HIF1A",948,"CD36",1,0.0025,0,0.0135,0.4605,0.075,0.008
"hsa-let-7c-5p","hsa-mir-135a-5p",4609,"MYC",974,"CD79B",1,0,0.001,0.2945,0.06,0.058,0.0065
"hsa-mir-330-3p","hsa-mir-378a-3p",6667,"SP1",1386,"ATF2",1,5e-04,0,0.201,0.715,0.287,0.006
"hsa-let-7c-5p","hsa-mir-497-5p",4609,"MYC",1476,"CSTB",1,0,0.0015,0.092,0.062,0.1205,0.0065
"hsa-mir-138-5p","hsa-mir-145-5p",4088,"SMAD3",1906,"EDN1",1,0,5e-04,0.1265,0.052,0.6545,0.0055
"hsa-mir-142-5p","hsa-mir-144-3p",7586,"ZKSCAN1",2050,"EPHB4",1,0,0,0.0035,0.0865,0.0115,0.0085
"hsa-mir-142-5p","hsa-mir-514a-3p",5451,"POU2F1",2206,"MS4A2",1,5e-04,0.007,0.0065,0.052,0.028,0.0045
"hsa-mir-31-5p","hsa-mir-9-5p",3091,"HIF1A",2235,"FECH",1,0,0.0035,0.135,0.0245,0.983,0
"hsa-mir-192-5p","hsa-mir-378a-5p",4297,"KMT2A",2303,"FOXC2",1,0,0,0.0015,0.011,0.3545,0.0065
"hsa-mir-192-5p","hsa-mir-193b-3p",4297,"KMT2A",2303,"FOXC2",1,5e-04,0,0.096,0.014,0.0775,0.005
"hsa-mir-139-3p","hsa-mir-330-3p",6667,"SP1",2683,"B4GALT1",1,0,0.0015,0.0025,0.0195,0.0305,0.001
"hsa-mir-514a-3p","hsa-mir-942-5p",5451,"POU2F1",2796,"GNRH1",1,0.008,0,0.029,0.063,0.0105,0
"hsa-mir-135b-5p","hsa-mir-182-5p",4205,"MEF2A",3708,"ITPR1",1,0,0,0.0735,0.02,0.4675,0.0075
"hsa-mir-143-3p","hsa-mir-195-5p",688,"KLF5",3728,"JUP",1,0,0,0.0265,0.0115,0.3325,0.001
"hsa-mir-188-5p","hsa-mir-877-5p",8202,"NCOA3",4026,"LPP",1,0.001,5e-04,0.213,0.014,0.6595,0.0065
"hsa-mir-144-3p","hsa-mir-144-5p",4089,"SMAD4",4092,"SMAD7",1,0,0.001,0.0045,0.036,0.0345,0.001
"hsa-mir-144-5p","hsa-mir-486-5p",4089,"SMAD4",4092,"SMAD7",1,0,0.001,0.0015,0.0175,0.0925,0.0025
"hsa-mir-144-3p","hsa-mir-486-5p",4089,"SMAD4",4092,"SMAD7",1,0,0.001,0.03,0.04,0.0865,0.0075
"hsa-mir-1-3p","hsa-mir-378a-5p",6667,"SP1",4790,"NFKB1",1,0.001,0,0.213,0.4065,0.628,0.0045
"hsa-mir-1-3p","hsa-mir-378a-3p",6667,"SP1",4790,"NFKB1",1,0,0,0.1885,0.4115,0.6135,0.006
"hsa-mir-378a-3p","hsa-mir-378a-5p",6667,"SP1",5021,"OXTR",1,0,0,0,0.017,0.0295,0
"hsa-mir-3613-5p","hsa-mir-96-5p",4205,"MEF2A",5066,"PAM",1,5e-04,0,0.2155,0.1055,0.2445,0.0065
"hsa-mir-31-5p","hsa-mir-9-5p",3091,"HIF1A",5315,"PKM",1,0,0.0035,0.135,0.778,0.041,0.005
"hsa-let-7c-5p","hsa-mir-497-5p",4609,"MYC",5315,"PKM",1,0,0.0015,0.092,0.0185,0.7465,0.0015
"hsa-mir-145-5p","hsa-mir-503-5p",6667,"SP1",7039,"TGFA",1,0.0055,0,0.085,0.014,0.463,0.0055
"hsa-mir-223-3p","hsa-mir-424-5p",6667,"SP1",7048,"TGFBR2",1,0.005,0,0.1055,0.0245,0.9845,0
"hsa-mir-142-3p","hsa-mir-942-5p",7586,"ZKSCAN1",7335,"UBE2V1",1,0,0,0.002,0.017,0.6155,0.001
"hsa-mir-378a-3p","hsa-mir-378a-5p",6667,"SP1",7430,"EZR",1,0,0,0,0.172,0.1165,0.0045
"hsa-mir-378a-3p","hsa-mir-378c",688,"KLF5",8425,"LTBP4",1,0,0,0,0.196,0.1115,0.007
"hsa-mir-582-5p","hsa-mir-942-5p",5451,"POU2F1",8521,"GCM1",1,0,0,0.1935,0.038,0.093,5e-04
"hsa-mir-142-3p","hsa-mir-221-5p",7586,"ZKSCAN1",9043,"SPAG9",1,0,0.0035,0.742,0.012,0.2035,0.008
"hsa-mir-143-3p","hsa-mir-424-5p",7182,"NR2C2",9675,"TTI1",1,5e-04,0,0.03,0.5905,0.6695,0.009
"hsa-mir-330-3p","hsa-mir-378a-5p",1523,"CUX1",10422,"UBAC1",1,0.009,0,0.2715,0.201,0.086,0.003
"hsa-mir-421","hsa-mir-424-5p",1523,"CUX1",10422,"UBAC1",1,0,0,0.249,0.1525,0.4775,0.005
"hsa-mir-142-3p","hsa-mir-338-3p",7182,"NR2C2",23250,"ATP11A",1,0,0,0.142,0.0255,0.0285,0.009
"hsa-mir-192-5p","hsa-mir-193b-3p",8202,"NCOA3",23613,"ZMYND8",1,0.001,5e-04,0.0235,0.419,0.0215,0
"hsa-mir-141-3p","hsa-mir-378a-5p",1523,"CUX1",29127,"RACGAP1",-1,0.0035,0,0.007,0.0215,0.0295,0.002
"hsa-let-7c-5p","hsa-mir-296-5p",1820,"ARID3A",51043,"ZBTB7B",1,0,0.002,0.0015,0.012,0.02,0.002
"hsa-mir-155-5p","hsa-mir-204-5p",6925,"TCF4",51474,"LIMA1",1,0,0,0.031,0.7965,0.107,0.0055
"hsa-mir-1-3p","hsa-mir-330-3p",6667,"SP1",56034,"PDGFC",1,0.002,5e-04,0.063,0.592,0.3675,0.006
"hsa-mir-1-3p","hsa-mir-503-5p",6667,"SP1",56034,"PDGFC",1,0.0015,0,0.068,0.5795,0.9685,0.0075
"hsa-mir-1-3p","hsa-mir-378a-5p",6667,"SP1",56034,"PDGFC",1,0.001,0,0.213,0.595,0.4685,0
"hsa-mir-1-3p","hsa-mir-378a-3p",6667,"SP1",56034,"PDGFC",1,0,0,0.1885,0.5555,0.792,5e-04
"hsa-mir-145-5p","hsa-mir-378a-5p",6667,"SP1",56034,"PDGFC",1,0.008,0,0.1315,0.64,0.5035,5e-04
"hsa-mir-126-5p","hsa-mir-330-3p",6667,"SP1",56034,"PDGFC",1,0,0.0015,0.0125,0.0785,0.422,0.004
"hsa-mir-143-3p","hsa-mir-221-5p",7182,"NR2C2",58490,"RPRD1B",1,0,0.001,0.1375,0.4585,0.155,0.0055
"hsa-mir-142-3p","hsa-mir-365a-3p",7586,"ZKSCAN1",84223,"IQCG",1,0,0,0.0435,0.169,0.0245,0.0095
"hsa-mir-133a-3p","hsa-mir-142-3p",7586,"ZKSCAN1",84223,"IQCG",1,0,0,0.01,0.059,0.1725,0.0055
"hsa-mir-143-3p","hsa-mir-378c",688,"KLF5",140688,"NOL4L",1,0,0,0.0265,0.32,0.0235,0.0095
"hsa-mir-221-5p","hsa-mir-627-5p",7182,"NR2C2",152518,"NFXL1",1,0.004,0.0015,0.522,0.04,0.014,0.0075
"hsa-mir-193b-3p","hsa-mir-378a-5p",8202,"NCOA3",157680,"VPS13B",1,5e-04,0,0.055,0.7045,0.0255,0.0095
"hsa-mir-126-5p","hsa-mir-33b-5p",7182,"NR2C2",165082,"ADGRF3",1,0,0,0.2095,0.101,0.0715,0.0055
"hsa-mir-1270","hsa-mir-188-5p",8202,"NCOA3",204851,"HIPK1",1,0.002,0,0.039,0.117,0.0325,0.0015
"hsa-mir-138-5p","hsa-mir-378a-5p",7764,"ZNF217",342184,"FMN1",1,0,0,0.494,0.043,0.1025,0.0015
"hsa-mir-421","hsa-mir-887-3p",7764,"ZNF217",342184,"FMN1",1,0,0.0035,0.3565,0.193,0.0105,0.009
