miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target
hsa-mir-130a-3p,hsa-mir-301a-3p,11016,24139,1,0,0,0.0045,0.848,0.0625,0.0055
hsa-mir-20a-5p,hsa-mir-93-3p,6774,604,1,0,0.001,0.192,0.0295,0.226,0.0085
hsa-mir-29a-5p,hsa-mir-324-5p,3091,79365,1,0.0005,0.0005,0.0455,0.7965,0.0215,0
hsa-mir-29a-5p,hsa-mir-324-5p,3091,7852,1,0.0005,0.0005,0.0455,0.4955,0.6175,0.0035
hsa-mir-29a-5p,hsa-mir-324-5p,3091,2321,1,0.0005,0.0005,0.0455,0.026,0.3725,0.002
hsa-mir-29a-5p,hsa-mir-324-5p,3091,1490,1,0.0005,0.0005,0.0455,0.033,0.6605,0.009
hsa-mir-199a-5p,hsa-mir-324-5p,2113,4057,1,0.0025,0.003,0.0005,0.214,0.7505,0.0055
hsa-let-7a-2-3p,hsa-mir-629-3p,5451,7412,-1,0,0,0,0.016,0.478,0.002
hsa-mir-409-3p,hsa-mir-93-3p,27086,57157,-1,0,0,0.218,0.029,0.063,0.001
hsa-mir-301b-3p,hsa-mir-9-3p,4790,3371,1,0,0,0.274,0.156,0.015,0.004
hsa-mir-424-5p,hsa-mir-450b-5p,2627,55553,1,0,0.001,0.0145,0.0345,0.1615,0.005
hsa-let-7a-2-3p,hsa-let-7g-3p,5451,7412,-1,0,0.0005,0,0.021,0.375,0.003
hsa-mir-130a-3p,hsa-mir-29b-3p,6667,7402,1,0,0.0045,0.393,0.7015,0.0115,0.0015
hsa-mir-301a-3p,hsa-mir-301b-3p,6774,3479,1,0.0015,0,0.0425,0.014,0.0725,0.0005
hsa-mir-301a-3p,hsa-mir-301b-3p,6774,3454,1,0.0015,0,0.0425,0.0495,0.3775,0.007
hsa-mir-130a-3p,hsa-mir-301a-3p,4790,5284,1,0.0005,0,0.001,0.1245,0.5385,0.009
hsa-mir-223-5p,hsa-mir-33a-5p,27086,26121,-1,0.0035,0,0.5445,0.574,0.017,0.0025
hsa-mir-193b-3p,hsa-mir-29a-5p,6925,1124,1,0.004,0,0.0475,0.0145,0.23,0
hsa-mir-20b-5p,hsa-mir-421,1523,23274,1,0,0,0.006,0.3875,0.0185,0.001
hsa-let-7g-3p,hsa-mir-130a-3p,26959,10609,-1,0.0005,0,0,0.0615,0.4725,0.004
hsa-mir-18a-5p,hsa-mir-301a-3p,6774,629,1,0,0,0.154,0.0175,0.0185,0.0055
hsa-mir-19a-3p,hsa-mir-20b-5p,9575,64759,1,0.0015,0.002,0.01,0.0155,0.145,0.0065
hsa-mir-192-5p,hsa-mir-19a-3p,2099,22795,1,0,0.0065,0.705,0.442,0.05,0.0015
hsa-mir-130a-3p,hsa-mir-301b-3p,4790,6351,1,0.0005,0,0.006,0.145,0.3685,0.0095
hsa-mir-130a-3p,hsa-mir-301b-3p,4790,1508,1,0.0005,0,0.006,0.358,0.018,0.0015
hsa-mir-130a-3p,hsa-mir-301b-3p,6667,2114,1,0,0.0005,0.7555,0.2155,0.046,0.0015
hsa-mir-203a-3p,hsa-mir-30b-5p,860,23236,1,0,0.001,0.061,0.058,0.1225,0.0035
hsa-mir-1-3p,hsa-mir-30c-2-3p,4150,8525,1,0,0,0,0.0115,0.2845,0.009
hsa-mir-1-3p,hsa-mir-30c-2-3p,4150,199990,1,0,0,0,0.086,0.148,0.0035
hsa-mir-18a-5p,hsa-mir-424-5p,6774,3479,1,0.0005,0.004,0.225,0.0115,0.451,0.0035
hsa-mir-18a-5p,hsa-mir-93-3p,6774,2120,1,0,0.002,0.005,0.8005,0.2445,0.0055
hsa-mir-196b-5p,hsa-mir-221-5p,7182,55187,1,0,0.001,0.489,0.05,0.0185,0.006
hsa-mir-29b-3p,hsa-mir-30a-5p,7528,51107,1,0,0.001,0.1335,0.175,0.017,0.003
hsa-mir-9-3p,hsa-mir-9-5p,4790,567,1,0.0005,0.0005,0.0015,0.1005,0.0475,0.0055
hsa-mir-9-3p,hsa-mir-9-5p,4790,331,1,0.0005,0.0005,0.0015,0.3875,0.4595,0.0095
hsa-mir-29b-3p,hsa-mir-324-5p,3091,1490,1,0.0025,0.0005,0.2125,0.0715,0.6645,0.0035
hsa-mir-29b-3p,hsa-mir-324-5p,3091,1012,1,0.0025,0.0005,0.2125,0.056,0.2425,0.003
hsa-mir-106a-5p,hsa-mir-18a-5p,6774,4582,1,0.008,0.0005,0.0055,0.3465,0.1325,0.0035
hsa-mir-301b-3p,hsa-mir-9-5p,4790,598,1,0,0,0.351,0.097,0.203,0.009
hsa-mir-338-5p,hsa-mir-548v,7020,3897,1,0.002,0.0095,0.1005,0.1155,0.0105,0.009
hsa-mir-29b-3p,hsa-mir-429,6667,7048,1,0.0015,0.0065,0.2995,0.169,0.0555,0
hsa-mir-301a-3p,hsa-mir-33a-5p,6667,472,1,0,0,0.0165,0.1,0.1915,0.0015
hsa-mir-301a-3p,hsa-mir-33a-5p,6667,1577,1,0,0,0.0165,0.136,0.215,0.007
hsa-mir-301a-3p,hsa-mir-33a-5p,6667,1551,1,0,0,0.0165,0.2315,0.411,0.009
hsa-mir-3065-5p,hsa-mir-33a-5p,6667,356,1,0.004,0,0.8385,0.1695,0.3,0.0065
hsa-mir-20b-5p,hsa-mir-363-3p,1523,9779,1,0,0,0.0145,0.03,0.279,0.006
hsa-mir-20b-5p,hsa-mir-363-3p,1523,55852,1,0,0,0.0145,0.039,0.118,0
hsa-mir-324-5p,hsa-mir-429,3091,8553,1,0.0005,0,0.0085,0.1095,0.0635,0.007
hsa-mir-324-5p,hsa-mir-429,3091,79365,1,0.0005,0,0.0085,0.048,0.362,0.004
hsa-mir-301b-3p,hsa-mir-429,6667,3673,1,0,0.004,0.191,0.0265,0.027,0.0075
hsa-mir-200a-3p,hsa-mir-424-5p,2627,153769,1,0,0.0005,0.0505,0.0275,0.177,0.009
hsa-mir-130a-3p,hsa-mir-301a-3p,6667,3673,1,0,0,0.364,0.1665,0.0855,0
hsa-mir-33a-5p,hsa-mir-503-5p,6667,960,1,0,0,0.268,0.289,0.1585,0.0025
hsa-mir-33a-5p,hsa-mir-503-5p,6667,8740,1,0,0,0.268,0.1475,0.236,0.002
hsa-mir-33a-5p,hsa-mir-503-5p,6667,4790,1,0,0,0.268,0.0195,0.109,0.0025
hsa-mir-33a-5p,hsa-mir-503-5p,6667,472,1,0,0,0.268,0.1925,0.765,0.002
hsa-mir-26b-3p,hsa-mir-362-5p,7003,51232,1,0.005,0,0.088,0.2415,0.1095,0.002
hsa-mir-26b-3p,hsa-mir-362-5p,7003,23002,1,0.005,0,0.088,0.0825,0.4795,0
hsa-mir-183-5p,hsa-mir-301b-3p,1316,84159,1,0,0.002,0.355,0.1955,0.029,0.0005
hsa-mir-183-5p,hsa-mir-301b-3p,1316,10938,1,0,0.002,0.355,0.0105,0.0685,0.0075
