"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target"
"hsa-mir-29b-3p","hsa-mir-29c-3p",3091,"HIF1A",19,"ABCA1",1,0.001,5e-04,0.0035,0.243,0.796,0.0035
"hsa-mir-135b-5p","hsa-mir-429",4609,"MYC",71,"ACTG1",1,0,0.005,0.036,0.159,0.013,0.001
"hsa-mir-193b-3p","hsa-mir-301a-3p",6925,"TCF4",120,"ADD3",1,0.006,0.0025,0.7365,0.0365,0.833,0.003
"hsa-mir-29b-3p","hsa-mir-30b-5p",144455,"E2F7",226,"ALDOA",1,0,0,0.0045,0.855,0.0175,0.0035
"hsa-mir-9-3p","hsa-mir-9-5p",4790,"NFKB1",331,"XIAP",1,5e-04,5e-04,0.0015,0.3875,0.4595,0.0095
"hsa-mir-3065-5p","hsa-mir-33a-5p",6667,"SP1",356,"FASLG",1,0.004,0,0.8385,0.1695,0.3,0.0065
"hsa-mir-301a-3p","hsa-mir-548b-3p",6667,"SP1",356,"FASLG",1,0,0.002,0.051,0.0635,0.053,0.007
"hsa-mir-33a-5p","hsa-mir-503-5p",6667,"SP1",472,"ATM",1,0,0,0.268,0.1925,0.765,0.002
"hsa-mir-301a-3p","hsa-mir-33a-5p",6667,"SP1",472,"ATM",1,0,0,0.0165,0.1,0.1915,0.0015
"hsa-mir-149-5p","hsa-mir-96-5p",6667,"SP1",488,"ATP2A2",1,0.003,5e-04,0.006,0.0245,0.0625,0.005
"hsa-mir-9-3p","hsa-mir-9-5p",4790,"NFKB1",567,"B2M",1,5e-04,5e-04,0.0015,0.1005,0.0475,0.0055
"hsa-mir-301a-3p","hsa-mir-301b-3p",4790,"NFKB1",597,"BCL2A1",1,0,0,0,0.042,0.0245,0.003
"hsa-mir-301b-3p","hsa-mir-9-5p",4790,"NFKB1",598,"BCL2L1",1,0,0,0.351,0.097,0.203,0.009
"hsa-mir-20a-5p","hsa-mir-93-3p",6774,"STAT3",604,"BCL6",1,0,0.001,0.192,0.0295,0.226,0.0085
"hsa-mir-196b-5p","hsa-mir-20a-5p",6774,"STAT3",604,"BCL6",1,0.0075,0,0.2855,0.023,0.024,0.002
