"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target"
"hsa-mir-19a-3p","hsa-mir-19b-3p",1997,"ELF1",113,"ADCY7",1,0,0.002,0.028,0.052,0.0125,0.008
"hsa-mir-200b-3p","hsa-mir-570-3p",2113,"ETS1",285,"ANGPT2",1,0,0,0.0565,0.037,0.0225,0
"hsa-mir-141-3p","hsa-mir-200a-3p",1316,"KLF6",302,"ANXA2",1,0,5e-04,0,0.301,0.0165,0.004
"hsa-mir-9-3p","hsa-mir-9-5p",4790,"NFKB1",331,"XIAP",1,0,0,0,0.011,0.011,5e-04
"hsa-mir-301a-3p","hsa-mir-301b-3p",1316,"KLF6",374,"AREG",1,5e-04,0,0.192,0.0235,0.645,0.005
"hsa-mir-18a-3p","hsa-mir-301b-3p",1316,"KLF6",390,"RND3",1,0,0,0.7385,0.106,0.3355,0.009
"hsa-mir-130b-3p","hsa-mir-200b-3p",1316,"KLF6",467,"ATF3",1,0,0,0.003,0.23,0.0125,0.0085
"hsa-mir-183-5p","hsa-mir-96-5p",367,"AR",472,"ATM",1,5e-04,0,0,0.0485,0.0965,0.004
"hsa-mir-1910-5p","hsa-mir-301b-3p",2099,"ESR1",491,"ATP2B2",1,0.0035,0,0.008,0.0225,0.082,0.0035
"hsa-mir-129-5p","hsa-mir-130b-3p",2099,"ESR1",595,"CCND1",1,5e-04,0,0.424,0.582,0.0335,5e-04
"hsa-mir-9-3p","hsa-mir-9-5p",4790,"NFKB1",602,"BCL3",1,0,0,0,0.015,0.022,0
"hsa-mir-9-3p","hsa-mir-9-5p",639,"PRDM1",677,"ZFP36L1",1,0,0.0085,0.002,0.0245,0.0415,0.0065
"hsa-mir-141-3p","hsa-mir-196b-5p",2627,"GATA6",677,"ZFP36L1",1,0.001,5e-04,0.309,0.03,0.1305,0.006
"hsa-mir-9-3p","hsa-mir-9-5p",4790,"NFKB1",958,"CD40",1,0,0,0,0.0135,0.0225,0.0025
"hsa-mir-130b-3p","hsa-mir-20b-3p",6935,"ZEB1",999,"CDH1",-1,0,0.0025,0.1865,0.575,0.7245,0.0035
"hsa-mir-429","hsa-mir-9-5p",2113,"ETS1",1026,"CDKN1A",1,0,0,0.001,0.21,0.1065,0.0065
"hsa-mir-200b-3p","hsa-mir-429",2113,"ETS1",1026,"CDKN1A",1,0,0,0,0.012,0.171,5e-04
"hsa-mir-135b-5p","hsa-mir-20a-5p",4609,"MYC",1384,"CRAT",1,0,0.001,0.482,0.1565,0.0395,0.0035
"hsa-mir-200b-3p","hsa-mir-429",2113,"ETS1",1441,"CSF3R",1,0,0,0,0.202,0.04,0.001
"hsa-mir-19a-3p","hsa-mir-19b-3p",2099,"ESR1",1831,"TSC22D3",1,0,0,0,0.423,0.0595,0.001
"hsa-mir-1291","hsa-mir-429",2113,"ETS1",1958,"EGR1",1,0.0025,0,0.7265,0.739,0.012,0.005
"hsa-mir-200b-3p","hsa-mir-429",2113,"ETS1",2078,"ERG",1,0,0,0,0.0245,0.0195,0
"hsa-mir-106a-5p","hsa-mir-18a-3p",1316,"KLF6",2114,"ETS2",1,0,0,0.1575,0.0815,0.18,0.0075
"hsa-mir-33a-3p","hsa-mir-429",2627,"GATA6",2590,"GALNT2",1,0.001,0,0.049,0.043,0.328,0.0075
"hsa-mir-651-5p","hsa-mir-9-5p",639,"PRDM1",2908,"NR3C1",1,0.0015,0.003,0.3565,0.015,0.052,0
"hsa-mir-651-5p","hsa-mir-9-3p",639,"PRDM1",2908,"NR3C1",1,0,0,0.1935,0.02,0.0245,0.0095
"hsa-mir-19a-3p","hsa-mir-19b-3p",3091,"HIF1A",2908,"NR3C1",1,0.002,5e-04,0.003,0.016,0.026,5e-04
"hsa-mir-130b-3p","hsa-mir-301a-3p",4790,"NFKB1",3091,"HIF1A",1,0,0.0015,0.781,0.1215,0.033,0.0015
