miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target
hsa-mir-301b-3p,hsa-mir-9-5p,1316,4739,1,0,0,0.06,0.7195,0.0785,0.0015
hsa-mir-18a-5p,hsa-mir-18b-5p,2099,4846,1,0,0,0.4575,0.0455,0.0475,0.0005
hsa-mir-219a-1-3p,hsa-mir-9-5p,2113,7728,1,0,0,0.037,0.0895,0.168,0.006
hsa-mir-18a-5p,hsa-mir-19a-3p,4782,4146,-1,0,0.001,0.055,0.0275,0.1215,0.0045
hsa-mir-9-3p,hsa-mir-9-5p,639,677,1,0,0.0085,0.002,0.0245,0.0415,0.0065
hsa-mir-9-3p,hsa-mir-9-5p,639,5583,1,0,0.0085,0.002,0.0165,0.0525,0.0055
hsa-mir-106a-5p,hsa-mir-19a-3p,4205,23291,1,0.002,0.002,0.2155,0.252,0.0285,0
hsa-mir-106a-5p,hsa-mir-19a-3p,4205,151056,1,0.002,0.002,0.2155,0.0145,0.2175,0.0005
hsa-mir-141-3p,hsa-mir-200b-3p,2627,8412,1,0.001,0.0045,0,0.0185,0.191,0.006
hsa-mir-130b-3p,hsa-mir-301a-3p,4790,3091,1,0,0.0015,0.781,0.1215,0.033,0.0015
hsa-mir-182-5p,hsa-mir-20a-5p,2034,8553,1,0,0,0.301,0.036,0.045,0.005
hsa-mir-129-5p,hsa-mir-130b-3p,2099,595,1,0.0005,0,0.424,0.582,0.0335,0.0005
hsa-mir-200a-3p,hsa-mir-200b-3p,2627,53405,1,0.0005,0.003,0,0.018,0.091,0.0015
hsa-mir-17-5p,hsa-mir-1910-5p,2099,4846,1,0,0.0065,0.5375,0.065,0.7265,0
hsa-mir-1291,hsa-mir-429,2113,1958,1,0.0025,0,0.7265,0.739,0.012,0.005
hsa-mir-224-5p,hsa-mir-570-3p,2113,4939,1,0,0,0.0785,0.443,0.0295,0.006
hsa-mir-33a-5p,hsa-mir-9-5p,27086,7163,-1,0,0.0015,0.0335,0.0125,0.2755,0.005
hsa-mir-33a-5p,hsa-mir-9-5p,27086,5896,-1,0,0.0015,0.0335,0.0355,0.034,0.0075
hsa-mir-18a-3p,hsa-mir-301b-3p,1316,390,1,0,0,0.7385,0.106,0.3355,0.009
hsa-mir-19b-3p,hsa-mir-20a-5p,4782,4146,-1,0,0.001,0.0025,0.0725,0.0175,0.0065
hsa-mir-33a-3p,hsa-mir-429,2627,2590,1,0.001,0,0.049,0.043,0.328,0.0075
hsa-mir-17-5p,hsa-mir-9-5p,6886,23348,1,0,0,0.631,0.6335,0.144,0.007
hsa-mir-182-5p,hsa-mir-96-5p,4790,3726,1,0,0,0,0.0865,0.019,0.005
hsa-mir-200a-3p,hsa-mir-200b-3p,1316,9208,1,0,0,0,0.0165,0.018,0.0015
hsa-mir-200a-3p,hsa-mir-200b-3p,1316,4627,1,0,0,0,0.0175,0.0365,0
hsa-mir-301a-3p,hsa-mir-301b-3p,1316,374,1,0.0005,0,0.192,0.0235,0.645,0.005
hsa-mir-130b-3p,hsa-mir-301a-3p,1316,7466,1,0,0,0.122,0.044,0.0335,0.0075
hsa-mir-200b-3p,hsa-mir-429,2113,7124,1,0,0,0,0.0235,0.0185,0
hsa-mir-200b-3p,hsa-mir-429,2113,2078,1,0,0,0,0.0245,0.0195,0
hsa-mir-200b-3p,hsa-mir-429,2113,1441,1,0,0,0,0.202,0.04,0.001
hsa-mir-200b-3p,hsa-mir-429,2113,1026,1,0,0,0,0.012,0.171,0.0005
hsa-mir-200b-3p,hsa-mir-429,2113,10043,1,0,0,0,0.0185,0.144,0.0055
hsa-mir-130b-3p,hsa-mir-9-5p,4790,9308,1,0,0,0.5165,0.3335,0.038,0.0005
hsa-mir-18a-3p,hsa-mir-33a-5p,27086,7163,-1,0.004,0,0.109,0.0545,0.011,0.0095
hsa-mir-1910-5p,hsa-mir-96-5p,3516,5305,1,0.0065,0,0.9775,0.022,0.015,0.0095
hsa-mir-19a-3p,hsa-mir-19b-3p,3091,6556,1,0.002,0.0005,0.003,0.3325,0.0805,0.005
hsa-mir-19a-3p,hsa-mir-19b-3p,3091,2908,1,0.002,0.0005,0.003,0.016,0.026,0.0005
hsa-mir-17-5p,hsa-mir-20a-5p,1316,4000,1,0,0,0,0.178,0.036,0.0045
