"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target"
"hsa-mir-129-5p","hsa-mir-133b",6667,"SP1",355,"FAS",1,0.001,0,0.094,0.3515,0.0455,0.0075
"hsa-mir-141-3p","hsa-mir-7-5p",1316,"KLF6",678,"ZFP36L2",1,0.001,0.0055,0.0125,0.1525,0.0245,0.0075
"hsa-mir-129-5p","hsa-mir-204-5p",6664,"SOX11",861,"RUNX1",1,0.006,0,0.005,0.211,0.0695,0.002
"hsa-mir-129-5p","hsa-mir-3065-3p",6664,"SOX11",861,"RUNX1",1,0.007,0.007,0.0625,0.2025,0.0525,0.0015
"hsa-mir-129-5p","hsa-mir-204-5p",6664,"SOX11",1009,"CDH11",1,0.006,0,0.005,0.2475,0.1365,0.0025
"hsa-mir-129-5p","hsa-mir-204-5p",6667,"SP1",3486,"IGFBP3",1,0.001,0.009,0.112,0.2875,0.0585,0.0025
"hsa-mir-129-5p","hsa-mir-7-5p",6667,"SP1",3552,"IL1A",1,0,0,5e-04,0.083,0.0315,0
"hsa-mir-33b-5p","hsa-mir-7-5p",10765,"KDM5B",3728,"JUP",1,0.0045,0,0.0075,0.526,0.013,0.0015
"hsa-mir-642a-5p","hsa-mir-7-5p",10765,"KDM5B",3728,"JUP",1,0.0025,0,0,0.0385,0.0165,0.001
"hsa-mir-204-5p","hsa-mir-642a-5p",10765,"KDM5B",4088,"SMAD3",1,0,0.0065,0.006,0.053,0.0275,0.002
"hsa-mir-133b","hsa-mir-7-5p",6667,"SP1",4583,"MUC2",1,5e-04,0,0.362,0.4325,0.0265,0.001
"hsa-mir-129-5p","hsa-mir-7-5p",6667,"SP1",4583,"MUC2",1,0,0,5e-04,0.031,0.035,0.002
"hsa-mir-129-5p","hsa-mir-7-5p",6667,"SP1",4790,"NFKB1",1,0,0,5e-04,0.0195,0.054,0
"hsa-mir-129-5p","hsa-mir-7-5p",6667,"SP1",5743,"PTGS2",1,0,0,5e-04,0.026,0.02,0.0085
"hsa-mir-129-5p","hsa-mir-153-3p",6664,"SOX11",6101,"RP1",1,0.0035,5e-04,0.106,0.032,0.432,0.002
"hsa-mir-153-3p","hsa-mir-7-5p",6664,"SOX11",6101,"RP1",1,5e-04,0.001,0.0295,0.589,0.0605,0.0035
"hsa-mir-139-3p","hsa-mir-7-5p",6667,"SP1",6549,"SLC9A2",1,0.0025,0,0.018,0.1955,0.011,0.0075
"hsa-mir-129-5p","hsa-mir-7-5p",6667,"SP1",6549,"SLC9A2",1,0,0,5e-04,0.0435,0.0145,0
"hsa-mir-129-5p","hsa-mir-7-5p",6667,"SP1",7430,"EZR",1,0,0,5e-04,0.0125,0.0265,0.0025
"hsa-mir-135a-5p","hsa-mir-204-5p",860,"RUNX2",7456,"WIPF1",1,5e-04,0.0015,0.048,0.426,0.0645,0.001
"hsa-mir-1224-5p","hsa-mir-139-5p",1999,"ELF3",8538,"BARX2",1,0,0,0.005,0.0145,0.013,0.001
"hsa-mir-129-5p","hsa-mir-7-5p",6667,"SP1",8714,"ABCC3",1,0,0,5e-04,0.033,0.024,0
"hsa-mir-204-5p","hsa-mir-642a-5p",10765,"KDM5B",9686,"VGLL4",1,0,0.0065,0.006,0.231,0.3885,0.0085
"hsa-mir-135a-5p","hsa-mir-204-5p",860,"RUNX2",23180,"RFTN1",1,5e-04,0.0015,0.048,0.1555,0.41,0.0065
"hsa-mir-139-5p","hsa-mir-7-5p",7764,"ZNF217",23670,"CEMIP2",1,0.006,0.001,0.004,0.118,0.0335,0
"hsa-mir-135a-5p","hsa-mir-204-5p",860,"RUNX2",64859,"NABP1",1,5e-04,0.0015,0.048,0.107,0.563,0.003
"hsa-mir-129-5p","hsa-mir-7-5p",27086,"FOXP1",83696,"TRAPPC9",-1,0.001,5e-04,0,0.1315,0.053,0
