"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target"
"hsa-mir-299-5p","hsa-mir-885-5p",6667,"SP1",355,"FAS",1,0.003,0,0.417,0.483,0.0745,0.0095
"hsa-mir-424-5p","hsa-mir-708-5p",4088,"SMAD3",1586,"CYP17A1",-1,5e-04,5e-04,0.0105,0.033,0.151,0.007
"hsa-mir-301b-3p","hsa-mir-3065-5p",6667,"SP1",4057,"LTF",1,0.009,0,0.3345,0.0675,0.894,0.0015
"hsa-mir-3065-5p","hsa-mir-885-5p",6667,"SP1",4320,"MMP11",1,0.0015,0,0.742,0.0545,0.052,0.0065
"hsa-mir-106a-5p","hsa-mir-138-5p",2034,"EPAS1",4891,"SLC11A2",1,0.002,0,0.7375,0.54,0.161,0.009
"hsa-mir-138-5p","hsa-mir-7-5p",2034,"EPAS1",5054,"SERPINE1",1,0,0,0.0295,0.7585,0.0955,0.0015
"hsa-mir-34c-5p","hsa-mir-665",51341,"ZBTB7A",6573,"SLC19A1",-1,0,0,0.213,0.084,0.0165,0.004
"hsa-mir-541-3p","hsa-mir-654-5p",51341,"ZBTB7A",6573,"SLC19A1",-1,0,0,0.0025,0.0255,0.195,0.006
"hsa-mir-139-3p","hsa-mir-193b-3p",51341,"ZBTB7A",6573,"SLC19A1",-1,0.0045,0.0085,0.472,0.213,0.34,5e-04
"hsa-mir-410-3p","hsa-mir-541-3p",51341,"ZBTB7A",6573,"SLC19A1",-1,5e-04,0,0,0.165,0.021,0.007
"hsa-mir-410-3p","hsa-mir-541-3p",51341,"ZBTB7A",8553,"BHLHE40",-1,5e-04,0,0,0.2835,0.1135,0
"hsa-mir-195-5p","hsa-mir-497-5p",7182,"NR2C2",9031,"BAZ1B",1,0,0.0035,0,0.014,0.0305,0.0085
"hsa-let-7c-5p","hsa-mir-497-5p",7182,"NR2C2",9031,"BAZ1B",1,0.0025,0.004,0.045,0.6645,0.0165,0.0045
"hsa-mir-133a-3p","hsa-mir-365a-3p",7586,"ZKSCAN1",9043,"SPAG9",1,0,0.0015,0.2165,0.1695,0.176,0.005
"hsa-mir-100-5p","hsa-mir-193b-3p",51341,"ZBTB7A",9394,"HS6ST1",-1,0.0035,0.009,0.025,0.0175,0.027,0
"hsa-mir-424-5p","hsa-mir-452-5p",2115,"ETV1",10010,"TANK",1,0,0,0,0.2995,0.0395,0.0075
"hsa-mir-199a-3p","hsa-mir-199b-3p",7586,"ZKSCAN1",11176,"BAZ2A",1,0.0015,0.001,0,0.1365,0.108,0
"hsa-mir-410-3p","hsa-mir-541-3p",51341,"ZBTB7A",23526,"ARHGAP45",-1,5e-04,0,0,0.1085,0.023,0
"hsa-mir-541-3p","hsa-mir-654-5p",51341,"ZBTB7A",23526,"ARHGAP45",-1,0,0,0.0025,0.0215,0.4805,5e-04
"hsa-mir-132-3p","hsa-mir-212-3p",196528,"ARID2",51322,"WAC",1,0.006,5e-04,0.003,0.6075,0.3565,0.002
"hsa-let-7c-5p","hsa-mir-143-3p",7182,"NR2C2",55010,"PARPBP",1,0.002,0.0015,5e-04,0.062,0.073,0.009
"hsa-mir-133a-3p","hsa-mir-143-3p",7182,"NR2C2",55010,"PARPBP",1,0,0,0,0.1265,0.1115,5e-04
"hsa-mir-142-3p","hsa-mir-142-5p",9575,"CLOCK",79365,"BHLHE41",1,0.004,0.006,0,0.28,0.219,0.0055
"hsa-mir-199a-3p","hsa-mir-199b-3p",7586,"ZKSCAN1",124540,"MSI2",1,0.0015,0.001,0,0.0195,0.026,0.0065
"hsa-mir-133a-3p","hsa-mir-143-3p",7182,"NR2C2",140461,"ASB8",1,0,0,0,0.051,0.0865,0.003
"hsa-mir-133a-3p","hsa-mir-424-5p",7182,"NR2C2",140461,"ASB8",1,0,0,0.0065,0.082,0.029,0.009
"hsa-mir-143-3p","hsa-mir-497-5p",7182,"NR2C2",152518,"NFXL1",1,0,0.001,0.0095,0.131,0.292,0.0085
"hsa-mir-424-5p","hsa-mir-497-5p",7182,"NR2C2",152518,"NFXL1",1,0,0.004,0,0.083,0.2175,0.005
