miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target
hsa-mir-326,hsa-mir-331-3p,6667,7358,1,0,0.0005,0.197,0.236,0.045,0.002
hsa-mir-326,hsa-mir-331-3p,6667,7358,1,0,0.0005,0.2005,0.236,0.045,0.002
hsa-mir-326,hsa-mir-331-3p,6667,7358,1,0,0,0.162,0.236,0.045,0.002
hsa-mir-326,hsa-mir-331-3p,6667,7358,1,0,0.0005,0.227,0.236,0.045,0.002
hsa-mir-326,hsa-mir-331-3p,6667,7358,1,0,0.0005,0.295,0.236,0.045,0.002
hsa-mir-326,hsa-mir-331-3p,6667,7358,1,0,0.001,0.194,0.236,0.045,0.002
hsa-mir-326,hsa-mir-331-3p,6667,7358,1,0,0.0005,0.2495,0.236,0.045,0.002
hsa-mir-326,hsa-mir-331-3p,6667,7358,1,0,0.0005,0.1325,0.236,0.045,0.002
hsa-mir-326,hsa-mir-331-3p,6667,7358,1,0.0005,0,0.1885,0.236,0.045,0.002
hsa-mir-326,hsa-mir-331-3p,6667,7358,1,0,0,0.383,0.236,0.045,0.002
hsa-mir-326,hsa-mir-331-3p,6667,7358,1,0,0,0.1585,0.236,0.045,0.002
hsa-mir-326,hsa-mir-331-3p,6667,7358,1,0,0,0.1845,0.236,0.045,0.002
hsa-mir-326,hsa-mir-331-3p,6667,7358,1,0,0,0.288,0.236,0.045,0.002
hsa-mir-326,hsa-mir-331-3p,6667,7358,1,0,0,0.228,0.236,0.045,0.002
hsa-mir-326,hsa-mir-331-3p,6667,7358,1,0,0.0005,0.1595,0.236,0.045,0.002
hsa-mir-326,hsa-mir-331-3p,6667,7358,1,0,0.0005,0.1145,0.236,0.045,0.002
hsa-mir-326,hsa-mir-331-3p,6667,7358,1,0,0,0.1605,0.236,0.045,0.002
hsa-mir-326,hsa-mir-331-3p,6667,7358,1,0,0,0.229,0.236,0.045,0.002
hsa-mir-326,hsa-mir-331-3p,6667,7358,1,0.0005,0,0.2025,0.236,0.045,0.002
hsa-mir-326,hsa-mir-331-3p,6667,7358,1,0,0.001,0.129,0.236,0.045,0.002
hsa-mir-326,hsa-mir-331-3p,6667,7358,1,0,0,0.2885,0.236,0.045,0.002
